timID,treatment,site,phenotype,size,sex,age,t1beh.1apr,t2beh.1apr,t3beh.1apr,t4beh.1apr,t5beh.1apr,t1beh.2apr,t2beh.2apr,t3beh.2apr,t4beh.2apr,t5beh.2apr,t1beh.1apr,t2beh.1apr,t3beh.1apr,t4beh.1apr,t5beh.1apr,t1beh.2apr,t2beh.2apr,t3beh.2apr,t4beh.2apr,t5beh.2apr
65,twice,FHA,striped,15,M,old,sit,run,run,run,sit,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
66,twice,FHA,striped,22,F,old,run,run,run,run,run,sit,0.5,run,run,run,0,0,0,0,0,0,1,0,0,0
70,twice,FHA,green,14,M,old,sit,run,sit,run,run,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
73,twice,FHA,striped,14,F,old,run,run,run,run,run,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
1,once,FHA,striped,14,M,old,sit,run,run,run,run,run,sit,run,run,run,0,0,0,0,0,0,0,0,0,0
19,once,FHA,green,25,F,old,72,0.5,0.5,run,run,sit,sit,sit,sit,sit,1,1,1,0,0,0,0,0,0,0
20,once,FHA,striped,24,F,old,run,run,sit,run,sit,sit,sit,run,sit,sit,0,0,0,0,0,0,0,0,0,0
26,once,FHA,striped,19,M,old,sit,19,sit,0.5,sit,sit,sit,sit,sit,sit,0,1,0,1,0,0,0,0,0,0
29,once,FHA,green,17,F,old,run,sit,sit,sit,run,sit,sit,sit,sit,run,0,0,0,0,0,0,0,0,0,0
31,once,FHA,striped,13,M,old,sit,run,run,run,run,sit,sit,run,run,run,0,0,0,0,0,0,0,0,0,0
37,once,FHA,striped,13,F,old,sit,run,run,run,run,run,run,run,sit,run,0,0,0,0,0,0,0,0,0,0
39,once,FHA,green,15,F,old,run,run,run,run,run,sit,sit,run,run,run,0,0,0,0,0,0,0,0,0,0
43,once,FHA,striped,20,F,old,sit,run,run,run,sit,sit,run,run,run,sit,0,0,0,0,0,0,0,0,0,0
44,once,FHA,striped,17,F,old,sit,run,sit,sit,sit,sit,sit,sit,sit,sit,0,0,0,0,0,0,0,0,0,0
45,once,FHA,striped,18,F,old,sit,sit,sit,sit,run,sit,sit,sit,sit,sit,0,0,0,0,0,0,0,0,0,0
46,once,FHA,striped,14,M,old,run,run,run,run,run,sit,sit,sit,run,run,0,0,0,0,0,0,0,0,0,0
48,once,FHA,striped,15,M,old,sit,run,run,run,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
50,once,FHA,green,16,M,old,run,run,run,run,run,run,run,run,run,sit,0,0,0,0,0,0,0,0,0,0
58,once,FHA,striped,22,F,old,run,run,run,run,run,sit,sit,run,sit,run,0,0,0,0,0,0,0,0,0,0
59,once,FHA,striped,15,M,old,run,run,run,run,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
60,once,FHA,striped,21,F,old,sit,run,run,run,run,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
63,once,FHA,striped,17,F,old,sit,sit,sit,sit,run,sit,sit,sit,sit,sit,0,0,0,0,0,0,0,0,0,0
64,once,FHA,striped,17,F,old,0.5,sit,sit,run,sit,sit,sit,sit,sit,sit,1,0,0,0,0,0,0,0,0,0
67,once,FHA,striped,15,F,old,0.5,run,run,run,sit,run,run,sit,run,run,1,0,0,0,0,0,0,0,0,0
69,once,FHA,striped,15,M,old,run,run,run,sit,run,run,sit,run,run,run,0,0,0,0,0,0,0,0,0,0
71,once,FHA,striped,15,F,old,sit,run,run,0.5,sit,sit,sit,sit,sit,sit,0,0,0,1,0,0,0,0,0,0
72,once,FHA,striped,14,M,old,run,run,run,run,run,sit,run,run,run,sit,0,0,0,0,0,0,0,0,0,0
74,once,FHA,striped,14,M,old,sit,sit,0.5,sit,run,sit,run,run,run,run,0,0,1,0,0,0,0,0,0,0
75,once,FHA,striped,20,F,old,sit,run,sit,sit,run,sit,sit,sit,run,sit,0,0,0,0,0,0,0,0,0,0
76,once,FHA,striped,15,F,old,run,sit,sit,run,run,sit,sit,300,sit,sit,0,0,0,0,0,0,0,1,0,0
77,once,FHA,green,16,M,old,sit,0.5,run,run,0.5,sit,run,run,sit,sit,0,1,0,0,1,0,0,0,0,0
78,once,FHA,striped,15,M,old,run,sit,run,run,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
79,once,FHA,striped,15,M,old,sit,sit,sit,run,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
80,once,FHA,striped,14,M,old,run,run,run,run,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
81,once,FHA,striped,13,F,old,sit,sit,sit,sit,sit,sit,sit,run,sit,run,0,0,0,0,0,0,0,0,0,0
82,once,FHA,striped,20,F,old,sit,sit,sit,run,run,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
83,once,FHA,striped,18,F,old,sit,sit,run,run,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
84,once,FHA,striped,12,F,old,sit,run,run,sit,run,sit,sit,run,run,run,0,0,0,0,0,0,0,0,0,0
