no,number,population,host,pop2,date,color,sex,age,size,t1Time,t2Time,t3Time,t1Beh,t2Beh,t3Beh,t4Beh,shmp,t1Lat,t1Dur,t2Lat,t2Dur,t3Lat,t3Dur,t4Lat,t4Dur,noShmp,noTim,pShmp,dummy
9,10,og,c,ogc,29/04/2012,striped,female,juvenile,15,12,14,15,shrimp,run,run,,1,5,94,,,,,,,2,9,0.222222222,
70,16,hv,a,hva,25/04/2012,green,male,juvenile,13,,,,sit,sit,,,0,,,,,,,,,1,15,0.066666667,
108,3,hv,c,hvc,25/04/2012,green,male,juvenile,12,18.5,11,12,run,run,sit,,0,,,,,,,,,0,2,0,
124,9,log,a,loga,27/04/2012,green,male,juvenile,10,11,12,14,sit,sit,sit,,0,,,,,,,,,1,8,0.125,
140,4,og,a,oga,27/04/2012,green,male,juvenile,11,13,14,15,run,sit,run,,0,,,,,,,,,0,3,0,
38,16,out,a,outa,24/04/2012,green,male,juvenile,13,,,,run,sit,run,run,0,,,,,,,,,2,3,0.666666667,
39,18,out,a,outa,24/04/2012,green,male,juvenile,12,,,,sit,shrimp,run,shrimp,1,,,,250,,,4,133,3,4,0.75,
53,2,out,a,outa,24/04/2012,green,male,juvenile,12,,,,shrimp,shrimp,shrimp,shrimp,1,3,274,,253,2,21,3,69,9,18,0.5,
165,8,s,c,sc,26/04/2012,green,male,juvenile,13,18,21,22,run,shrimp,shrimp,,1,,,2,360,3,120,,,4,7,0.571428571,
166,9,s,c,sc,26/04/2012,green,male,juvenile,15,18,21,22,run,sit,shrimp,,1,,,,,3,80,,,5,8,0.625,
125,10,log,a,loga,27/04/2012,grey,male,juvenile,13,11,12,14,sit,run,run,,0,,,,,,,,,1,9,0.111111111,
55,11,out,a,outa,24/04/2012,grey,male,juvenile,12,,,,run,sit,sit,run,0,,,,,,,,,9,20,0.45,X
15,16,og,c,ogc,29/04/2012,red,male,juvenile,11,12,14,15,sit,run,sit,,0,,,,,,,,,4,15,0.266666667,
43,4,out,a,outa,24/04/2012,red,male,juvenile,14,,,,shrimp,shrimp,shrimp,shrimp,1,5,35,,77,4,31,2,24,6,8,0.75,
44,10,out,a,outa,24/04/2012,red,male,juvenile,14,,,,sit,sit,sit,sit,0,,,,,,,,,6,9,0.666666667,
56,2,hv,a,hva,25/04/2012,striped,male,juvenile,14,,,,sit,sit,,,0,,,,,,,,,0,1,0,
63,9,hv,a,hva,25/04/2012,striped,male,juvenile,14,,,,sit,sit,,,0,,,,,,,,,0,8,0,
71,17,hv,a,hva,25/04/2012,striped,male,juvenile,14,,,,shrimp,sit,,,1,2,22,,,,,,,2,16,0.125,
128,13,log,a,loga,27/04/2012,striped,male,juvenile,9,11,12,14,sit,shrimp,shrimp,,1,,,2,121,5,49,,,2,12,0.166666667,
141,5,og,a,oga,27/04/2012,striped,male,juvenile,12,13,14,15,run,run,run,,0,,,,,,,,,0,4,0,
142,6,og,a,oga,27/04/2012,striped,male,juvenile,11,13,14,15,run,run,sit,,0,,,,,,,,,0,5,0,
144,8,og,a,oga,27/04/2012,striped,male,juvenile,13,13,14,15,run,run,run,,0,,,,,,,,,0,7,0,
145,9,og,a,oga,27/04/2012,striped,male,juvenile,12,13,14,15,shrimp,run,run,,1,3,50,,,,,,,1,8,0.125,
154,18,og,a,oga,27/04/2012,striped,male,juvenile,13,13,14,15,run,run,run,,0,,,,,,,,,3,17,0.176470588,
156,20,og,a,oga,27/04/2012,striped,male,juvenile,11,13,14,15,shrimp,run,run,,1,2,37,,,,,,,4,19,0.210526316,
13,14,og,c,ogc,29/04/2012,striped,male,juvenile,11,12,14,15,shrimp,shrimp,shrimp,,1,1,360,1,317,3,360,,,4,13,0.307692308,
19,21,og,c,ogc,29/04/2012,striped,male,juvenile,14,12,14,15,sit,sit,sit,,0,,,,,,,,,5,19,0.263157895,X
40,6,out,a,outa,24/04/2012,striped,male,juvenile,13,,,,run,run,run,run,0,,,,,,,,,3,5,0.6,
41,5,out,a,outa,24/04/2012,striped,male,juvenile,12,,,,shrimp,shrimp,shrimp,shrimp,1,1,272,1,45,3,35,5,56,4,6,0.666666667,
46,17,out,a,outa,24/04/2012,striped,male,juvenile,12,,,,shrimp,run,sit,run,1,,,,,,,,,7,11,0.636363636,
51,20,out,a,outa,24/04/2012,striped,male,juvenile,14,,,,run,sit,run,run,0,,,,,,,,,8,16,0.5,
52,7,out,a,outa,24/04/2012,striped,male,juvenile,15,,,,sit,sit,run,sit,0,,,,,,,,,8,17,0.470588235,
31,13,r12,c,r12c,29/04/2012,striped,female,juvenile,17,16.5,19.5,21,run,run,run,,0,,,,,,,,,3,12,0.25,
117,2,log,a,loga,27/04/2012,,,,,11,12,14,sit,sit,shrimp,,1,,,,,2,109,,,1,1,1,
118,3,log,a,loga,27/04/2012,,,,,11,12,14,sit,sit,sit,,0,,,,,,,,,1,2,0.5,
119,4,log,a,loga,27/04/2012,,,,,11,12,14,run,sit,sit,,0,,,,,,,,,1,3,0.333333333,
120,5,log,a,loga,27/04/2012,,,,,11,12,14,run,run,,,0,,,,,,,,,1,4,0.25,
121,6,log,a,loga,27/04/2012,,,,,11,12,14,sit,sit,run,,0,,,,,,,,,1,5,0.2,
126,11,log,a,loga,27/04/2012,,,,,11,12,14,sit,sit,,,0,,,,,,,,,1,10,0.1,
147,11,og,a,oga,27/04/2012,,,,,13,14,15,,,,,0,,,,,,,,,1,10,0.1,
