number,population,host,pop2,date,color,sex,age,size,t1Time,t2Time,t3Time,t1Beh,t2Beh,t3Beh,t4Beh,shmp,shmp12,t1Lat,t1Dur,t2Lat,t2Dur,t3Lat,t3Dur,t4Lat,t4Dur,lat12avg,dur12avg,noShmp,noTim,pShmp,dummy
16,og,c,ogc,29/04/2012,red,male,juvenile,11,12,14,15,sit,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,2,0.5,
17,og,c,ogc,29/04/2012,striped,male,adult,15,12,14,15,shrimp,run,sit,,1,1,2,360,,,,,,,2,360,2,3,0.666666667,
21,og,c,ogc,29/04/2012,striped,male,juvenile,14,12,14,15,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,4,0.5,X
3,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
4,r12,c,r12c,29/04/2012,green ,male,adult,15,16.5,19.5,21,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
5,r12,c,r12c,29/04/2012,red,male,adult,15,16.5,19.5,21,shrimp,shrimp,shrimp,,1,1,2,239,2,360,4,360,,,2,299.5,1,3,0.333333333,
8,r12,c,r12c,29/04/2012,green,male,adult,15,16.5,19.5,21,run,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,4,0.25,
10,r12,c,r12c,29/04/2012,red,male,adult,16,16.5,19.5,21,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,5,0.2,
11,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,run,shrimp,,1,0,,,,,4,118,,,#DIV/0!,#DIV/0!,2,6,0.333333333,
14,r12,c,r12c,29/04/2012,striped ,male,adult,15,16.5,19.5,21,run,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,7,0.285714286,
16,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,8,0.25,
19,r12,c,r12c,29/04/2012,striped,male,adult,14,16.5,19.5,21,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,9,0.222222222,X
16,out,a,outa,24/04/2012,green,male,juvenile,13,,,,run,sit,run,run,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
18,out,a,outa,24/04/2012,green,male,juvenile,12,,,,sit,shrimp,run,shrimp,1,1,,,,250,,,4,133,#DIV/0!,250,1,2,0.5,
6,out,a,outa,24/04/2012,striped,male,juvenile,13,,,,run,run,run,run,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,3,0.333333333,
5,out,a,outa,24/04/2012,striped,male,juvenile,12,,,,shrimp,shrimp,shrimp,shrimp,1,1,1,272,1,45,3,35,5,56,1,158.5,2,4,0.5,
4,out,a,outa,24/04/2012,red,male,juvenile,14,,,,shrimp,shrimp,shrimp,shrimp,1,1,5,35,,77,4,31,2,24,5,56,3,5,0.6,
10,out,a,outa,24/04/2012,red,male,juvenile,14,,,,sit,sit,sit,sit,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,6,0.5,
17,out,a,outa,24/04/2012,striped,male,juvenile,12,,,,shrimp,run,sit,run,1,1,,,,,,,,,#DIV/0!,#DIV/0!,4,7,0.571428571,
9,out,a,outa,24/04/2012,striped,male,adult,15,,,,sit,sit,sit,run,0,0,,,,,,,,,#DIV/0!,#DIV/0!,4,8,0.5,
20,out,a,outa,24/04/2012,striped,male,juvenile,14,,,,run,sit,run,run,0,0,,,,,,,,,#DIV/0!,#DIV/0!,4,9,0.444444444,
7,out,a,outa,24/04/2012,striped,male,juvenile,15,,,,sit,sit,run,sit,0,0,,,,,,,,,#DIV/0!,#DIV/0!,4,10,0.4,
2,out,a,outa,24/04/2012,green,male,juvenile,12,,,,shrimp,shrimp,shrimp,shrimp,1,1,3,274,,253,2,21,3,69,3,263.5,5,11,0.454545455,
13,out,a,outa,24/04/2012,striped,male,adult,14,,,,run,sit,sit,sit,0,0,,,,,,,,,#DIV/0!,#DIV/0!,5,12,0.416666667,
11,out,a,outa,24/04/2012,grey,male,juvenile,12,,,,run,sit,sit,run,0,0,,,,,,,,,#DIV/0!,#DIV/0!,5,13,0.384615385,X
2,hv,a,hva,25/04/2012,striped,male,juvenile,14,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
3,hv,a,hva,25/04/2012,striped,male,adult,16,,,,run,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
4,hv,a,hva,25/04/2012,green,male,adult,17,,,,run,run,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,3,0,
8,hv,a,hva,25/04/2012,grey,male,adult,16,,,,run,run,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,4,0,
9,hv,a,hva,25/04/2012,striped,male,juvenile,14,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,5,0,
16,hv,a,hva,25/04/2012,green,male,juvenile,13,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,6,0,
17,hv,a,hva,25/04/2012,striped,male,juvenile,14,,,,shrimp,sit,,,1,1,2,22,,,,,,,2,22,1,7,0.142857143,
18,hv,a,hva,25/04/2012,striped,male,adult,14,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,8,0.125,
20,hv,a,hva,25/04/2012,striped,male,adult,17,,,,sit,shrimp,,,1,1,,,3,26,,,,,3,26,2,9,0.222222222,X
4,pr,c,prc,25/04/2012,green,male,adult,16,11,12,13,sit ,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
7,pr,c,prc,25/04/2012,green,male,adult,14,11,12,13,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
11,pr,c,prc,25/04/2012,green,male,adult,14,11,12,13,run,run,shrimp,,1,0,,,,,3,246,,,#DIV/0!,#DIV/0!,1,3,0.333333333,
12,pr,c,prc,25/04/2012,green,male,adult,17,11,12,13,run,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,4,0.25,
15,pr,c,prc,25/04/2012,green,male,adult,16,11,12,13,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,5,0.2,
16,pr,c,prc,25/04/2012,green,male,adult,16,11,12,13,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,6,0.166666667,
19,pr,c,prc,25/04/2012,green,male,adult,18,11,12,13,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,7,0.142857143,
12a,pr,c,prc,26/04/2012,green,male,adult,16,11,12,13,shrimp,shrimp,shrimp,,1,1,3,75,5,107,4,25,,,4,91,2,8,0.25,
21a,pr,c,prc,26/04/2012,green,male,adult,15,11,12,13,shrimp,sit,shrimp,,1,1,1,360,,,1,50,,,1,360,3,9,0.333333333,X
3,hv,c,hvc,25/04/2012,green,male,juvenile,12,18.5,11,12,run,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
7,hv,c,hvc,25/04/2012,striped,male,adult,16,18.5,11,12,run,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
9,hv,c,hvc,25/04/2012,red,male,adult,16,18.5,11,12,shrimp,shrimp,run,,1,1,3,350,4,139,,,,,3.5,244.5,1,3,0.333333333,
11,hv,c,hvc,25/04/2012,striped,male,adult,14,18.5,11,12,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,4,0.25,X
7,log,a,loga,27/04/2012,striped,male,adult,,11,12,14,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
9,log,a,loga,27/04/2012,green,male,juvenile,10,11,12,14,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
10,log,a,loga,27/04/2012,grey,male,juvenile,13,11,12,14,sit,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,3,0,
13,log,a,loga,27/04/2012,striped,male,juvenile,9,11,12,14,sit,shrimp,shrimp,,1,1,,,2,121,5,49,,,2,121,1,4,0.25,X
2,og,a,oga,27/04/2012,striped,male,adult,13,13,14,15,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
4,og,a,oga,27/04/2012,green,male,juvenile,11,13,14,15,run,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
5,og,a,oga,27/04/2012,striped,male,juvenile,12,13,14,15,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,3,0,
6,og,a,oga,27/04/2012,striped,male,juvenile,11,13,14,15,run,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,4,0,
7,og,a,oga,27/04/2012,striped,male,adult,15,13,14,15,sit,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,5,0,
8,og,a,oga,27/04/2012,striped,male,juvenile,13,13,14,15,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,6,0,
9,og,a,oga,27/04/2012,striped,male,juvenile,12,13,14,15,shrimp,run,run,,1,1,3,50,,,,,,,3,50,1,7,0.142857143,
18,og,a,oga,27/04/2012,striped,male,juvenile,13,13,14,15,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,8,0.125,
20,og,a,oga,27/04/2012,striped,male,juvenile,11,13,14,15,shrimp,run,run,,1,1,2,37,,,,,,,2,37,2,9,0.222222222,X
4,s,c,sc,26/04/2012,green,male,adult,15,18,21,22,shrimp,shrimp,shrimp,,1,1,3,360,2,360,3,360,,,2.5,360,1,1,1,
6,s,c,sc,26/04/2012,green,male,adult,15,18,21,22,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,2,0.5,
8,s,c,sc,26/04/2012,green,male,juvenile,13,18,21,22,run,shrimp,shrimp,,1,1,,,2,360,3,120,,,2,360,2,3,0.666666667,
9,s,c,sc,26/04/2012,green,male,juvenile,15,18,21,22,run,sit,shrimp,,1,0,,,,,3,80,,,#DIV/0!,#DIV/0!,3,4,0.75,
11,s,c,sc,26/04/2012,green,male,adult,16,18,21,22,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,5,0.6,
12,s,c,sc,26/04/2012,green,male,adult,16,18,21,22,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,6,0.5,
14,s,c,sc,26/04/2012,green,male,adult,16,18,21,22,sit,shrimp,shrimp,,1,1,,,5,275,3,360,,,5,275,4,7,0.571428571,
15,s,c,sc,26/04/2012,green,male,adult,14,18,21,22,run,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,4,8,0.5,
17,s,c,sc,26/04/2012,green,male,adult,15,18,21,22,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,4,9,0.444444444,
18,s,c,sc,26/04/2012,green,male,adult,,,,,shrimp,sit,sit,,1,1,4,360,,,,,,,4,360,5,10,0.5,X
